date_id,T_name,T_irret,T_close,T_settle,TF_name,TF_irret,TF_close,TF_settle,FutYHret,quan90,quan80,quan70,quan60,quan50,quan40,quan30,quan20,quan10,position_T90,position_TF90,position_T80,position_TF80,position_T70,position_TF70,position_T60,position_TF60,position_T,position_TF,lag_position_T,lag_position_TF,ZHJE,KCSS,XZZJ,position_T_ZS,position_TF_ZS,MAXJZ,MINJZ,ismax,Drawdowns,FCKC,ZHJE1,KCSS1,XZZJ1
2016/1/14,T1603.CFE,0.0293,100.445,100.435,TF1603.CFE,0.027666667000000002,100.92,100.905,16.33,21.0,18.33,17.1,16.33,16.0,15.67,15.33,15.0,13.97,0,0,0,0,0,0,1,-2,1,-2,0.0,0.0,1000000,0,0,0,0,0,0,0,0.0,0.0,1000000,0,0
2016/1/15,T1603.CFE,0.028999999999999998,100.645,100.615,TF1603.CFE,0.027333332999999998,101.05,101.035,16.67,21.0,18.33,17.0,16.33,16.0,15.67,15.33,15.0,13.97,0,0,0,0,0,0,1,-2,1,-2,1.0,-2.0,992000,10,749516,1,-2,992000,992000,0,0.0,0.0,992000,10,749516
2016/1/18,T1603.CFE,0.0296,100.285,100.235,TF1603.CFE,0.027966667,100.84,100.795,16.33,21.0,18.33,17.0,16.33,16.16,15.67,15.33,15.0,13.97,0,0,0,0,0,0,1,-2,1,-2,1.0,-2.0,1001999,10,760091,1,-2,1001999,1001999,0,0.0,0.0,1001999,10,760091
2016/1/19,T1603.CFE,0.029733332999999997,100.13,100.155,TF1603.CFE,0.028066667000000003,100.72,100.745,16.67,21.0,18.33,17.0,16.33,16.16,15.67,15.33,15.0,13.97,0,0,0,0,0,0,1,-2,1,-2,1.0,-2.0,1003998,10,762210,1,-2,1003998,1003998,0,0.0,0.0,1003998,10,762210
2016/1/20,T1603.CFE,0.0297,100.27,100.185,TF1603.CFE,0.027999999999999997,100.82,100.765,17.0,21.0,18.07,17.0,16.33,16.16,15.67,15.33,15.0,13.97,0,0,0,0,1,-2,1,-2,2,-4,1.0,-2.0,1002998,10,761162,1,-2,1003998,1002998,0,0.000996017920354423,0.0,1002998,10,761162
2016/1/21,T1603.CFE,0.0294,100.365,100.385,TF1603.CFE,0.027733333,100.86,100.875,16.67,21.0,18.0,16.77,16.33,16.16,15.67,15.33,15.0,13.97,0,0,0,0,1,-2,1,-2,2,-4,2.0,-4.0,998998,10,514797,2,-4,1003998,998998,0,0.004980089601772115,0.0,998998,10,514797
2016/1/22,T1603.CFE,0.0294,100.42,100.37,TF1603.CFE,0.0278,100.875,100.845,16.0,20.7,17.74,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,0,0,1,-2,1,-2,2,-4,2.0,-4.0,1007998,10,523942,2,-4,1007998,1007998,0,0.0,0.0,1007998,10,523942
2016/1/25,T1603.CFE,0.030166667,99.835,99.87,TF1603.CFE,0.028666667000000003,100.51,100.52,15.0,20.67,17.67,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2,-3,6,2.0,-4.0,1037998,10,555502,2,-4,1037998,1037998,0,0.0,0.0,1037998,10,555502
2016/1/26,T1603.CFE,0.0301,99.91,99.93,TF1603.CFE,0.028566667,100.56,100.56,15.33,20.67,17.4,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2,-3,6,-3.0,6.0,1043998,10,319966,-3,6,1043998,1043998,0,0.0,0.0,1043998,10,319966
2016/1/27,T1603.CFE,0.0304,99.77,99.695,TF1603.CFE,0.028833333,100.49,100.45,15.67,20.36,17.33,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2,-3,6,-3.0,6.0,1048498,10,325258,-3,6,1048498,1048498,0,0.0,0.0,1048498,10,325258
2016/1/28,T1603.CFE,0.030033333,99.965,99.955,TF1603.CFE,0.0285,100.58,100.57,15.33,20.03,17.33,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2,-3,6,-3.0,6.0,1042497,10,318393,-3,6,1048498,1042497,0,0.005723425318884728,0.0,1042497,10,318393
2016/1/29,T1603.CFE,0.029433333,100.365,100.34,TF1603.CFE,0.027966667,100.79,100.78,14.67,19.4,17.07,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2,-3,6,-3.0,6.0,1052997,10,327381,-3,6,1052997,1052997,0,0.0,0.0,1052997,10,327381
2016/2/1,T1603.CFE,0.0295,100.34,100.31,TF1603.CFE,0.028066667000000003,100.76,100.75,14.33,19.03,17.0,16.67,16.33,15.84,15.53,15.23,15.0,13.97,0,0,-1,2,-1,2,-1,2,-3,6,-3.0,6.0,1043996,10,318596,-3,6,1052997,1043996,0,0.00854798256785157,0.0,1043996,10,318596
2016/2/2,T1603.CFE,0.0301,99.92,99.94,TF1603.CFE,0.0286,100.54,100.545,15.0,18.43,17.0,16.67,16.33,15.67,15.33,15.0,15.0,13.97,0,0,-1,2,-1,2,-1,2,-3,6,-3.0,6.0,1031996,10,308072,-3,6,1052997,1031996,0,0.0199440264312244,0.0,1031996,10,308072
2016/2/3,T1603.CFE,0.0299,100.07,100.035,TF1603.CFE,0.028466667,100.62,100.6,14.33,18.43,17.0,16.67,16.33,15.67,15.33,15.0,14.93,13.97,0,0,-1,2,-1,2,-1,2,-3,6,-3.0,6.0,1036495,10,312175,-3,6,1052997,1031996,0,0.0199440264312244,0.0043595130213683,1036495,10,312175
2016/2/4,T1603.CFE,0.0296,100.25,100.24,TF1603.CFE,0.028133332999999996,100.735,100.72,14.67,18.43,17.0,16.67,16.33,15.67,15.33,15.0,14.67,13.97,0,0,-1,2,-1,2,-1,2,-3,6,-3.0,6.0,1046995,10,321811,-3,6,1052997,1031996,0,0.0199440264312244,0.014533971061903342,1046995,10,321811
